OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_CODE26,SA4_NAME26,STE_NAME26,source_record_id,dc_location_key,augmentation_status,match_distance_m,match_method,external_id,external_title,external_address,external_operator,external_dc_plug_types,external_usage_cost_text,external_access_type,external_bay_count,external_number_of_points,external_status,external_last_verified,external_provider,external_provider_license,external_source_url,augmented,augmentation_source,matched_sources,evie_match_status,evie_augmented,ampol_match_status,ampol_augmented,ocm_match_status,ocm_augmented,osm_match_status,osm_augmented
,,"10 Brookfield Rd, Minto NSW 2566",Evie,4,DC,75 kW,-34.03094307,150.8490285,Campbelltown City Council,2566,ARENA - Driving the Nation,123,Sydney - Outer South West,New South Wales,ev_00051,"-34.030943,150.849029",matched,3.33,nearby_identity,6401,Minto Mall,10 Brookfield Road  Minto 2566,Evie Networks,CCS Type 2; CHAdeMO,0.60/kWh + 0.09/kWh (9:00 AM-9:00 PM),,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie; osm,matched,True,unmatched,False,unmatched,False,matched,True
,,"10 Burkinshaw St, Barooga, 3644",Exploren,2,AC,22 kW,-35.9064535,145.6867497,Berrigan Shire Council,3644,Existing Destination Chargers,109,Murray,New South Wales,ev_00052,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Colden Dr, Albion Park Rail, 2527",Chargefox,4,AC,22 kW,-34.57356661,150.8134274,Shellharbour City Council,2527,Existing Destination Chargers,107,Illawarra,New South Wales,ev_00053,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Elizabeth St, Bathurst, 2795",Evie,4,DC,150 kW,-33.41417222,149.5833564,Bathurst Regional Council,2795,Existing Fast Chargers,103,Central West,New South Wales,ev_00054,"-33.414172,149.583356",matched,0.07,nearby_identity,7320,10 Elizabeth Street Parking – Bathurst,10 Elizabeth Street  Bathurst 2795,Evie Networks,CCS Type 2; CHAdeMO,0.82/kWh,,,,,,Evie Networks official station map,Official website; no open-data licence asserted,https://evie.com.au/find-a-charger/,True,evie,evie; osm,matched,True,unmatched,False,unmatched,False,matched,True
,,"10 Rugby Rd, Newcastle, 2305",Tesla,1,AC,22 kW,-32.9207518,151.7155225,Newcastle City Council,2305,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00055,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Seymour street, Laurieton, 2443",Exploren,2,AC,22 kW,-31.65042247,152.7958869,Port Macquarie-Hastings Council,2443,Existing Destination Chargers,108,Mid North Coast,New South Wales,ev_00056,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Tryon Rd, Sydney, 2070",Chargefox,10,AC,22 kW,-33.77481686,151.1704995,Ku-ring-gai Council,2070,Existing Destination Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00057,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Tryon Rd, Sydney, 2070",Exploren,5,AC,6 kW,-33.77497902,151.1702102,Ku-ring-gai Council,2070,Existing Destination Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00058,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Victoria St, Wollongong , NSW 2500",EVX,2,AC,22 kW,-34.42213018,150.891979,Wollongong City Council,NSW 2500,Existing Destination Chargers,107,Illawarra,New South Wales,ev_00059,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"10 Winery Dr, Port Macquarie, 2444",Tesla,12,DC,130 kW,-31.43610015,152.8235826,Port Macquarie-Hastings Council,2444,Existing Fast Chargers,108,Mid North Coast,New South Wales,ev_00060,"-31.436100,152.823583",matched,0.06,nearby_identity,79311,Port Macquarie Supercharger [Tesla],"764 Pacific Highway, Port Macquarie, 2444",Tesla (Tesla-only charging),CCS (Type 2),AUD 0.52/kWh,Public - Membership Required,,6,Operational,2021-12-19T01:54:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/79311,True,ocm,ocm; osm,unmatched,False,unmatched,False,matched,True,matched,True
,,"100 Weakleys Dr, Beresfield, 2322",Exploren,3,AC,22 kW,-32.80300905,151.6334314,Newcastle City Council,2322,Existing Destination Chargers,111,Newcastle and Lake Macquarie,New South Wales,ev_00061,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"101 Goulburn St, Sydney, 2000",Chargefox,4,AC,6 kW,-33.87844949,151.208999,"Sydney, Council of the City of",2000,Existing Destination Chargers,117,Sydney - City and Inner South,New South Wales,ev_00062,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"101 Grafton St, Sydney, 2022",Tesla,4,AC,22 kW,-33.89091996,151.2508218,Waverley Council,2022,Existing Destination Chargers,118,Sydney - Eastern Suburbs,New South Wales,ev_00063,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"102 Volt Lane, Albury, 2640",Exploren,4,AC,22 kW,-36.08176781,146.9163193,Albury City Council,2640,Existing Destination Chargers,109,Murray,New South Wales,ev_00064,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"103 Sandy Flat Rd, Sandy Flat, 2372",Tesla,2,AC,22 kW,-29.23413718,152.0222883,Tenterfield Shire Council,2372,Existing Destination Chargers,110,New England and North West,New South Wales,ev_00065,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"1034 The Escort Way, Borenore, 2800",Tesla,2,AC,22 kW,-33.25922627,149.00404,Cabonne Council,2800,Existing Destination Chargers,103,Central West,New South Wales,ev_00066,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"105 Station Rd, Sydney, 2147",Ampol,2,DC,150 kW,-33.77436041,150.9448809,Blacktown City Council,2147,Existing Fast Chargers,116,Sydney - Blacktown,New South Wales,ev_00067,"-33.774360,150.944881",matched,13.12,nearby_identity,0000022136,Ampol Foodary Seven Hills Station Rd,105 Station Rd Cnr Powers Rd Seven Hills 2147,Ampol,CCS 2; CHAdeMO,,,2,,,,Ampol official station locator,Official website; no open-data licence asserted,https://ampcharge.ampol.com.au/find-a-charging-station,True,ampol,ampol; osm,unmatched,False,matched,True,unmatched,False,matched,True
,,"106 Parraween St, Sydney, 2090",Evie,4,DC,75 kW,-33.8273504,151.2303373,North Sydney Council,2090,Existing Fast Chargers,121,Sydney - North Sydney and Hornsby,New South Wales,ev_00068,"-33.827350,151.230337",review_unresolved,,,,,,,,,,,,,,,,,False,,,review_shared_external,False,unmatched,False,unmatched,False,unmatched,False
,,"1067 Oxley Hwy, Thrumster, 2444",Chargefox,4,DC,180 kW,-31.46394199,152.8219499,Port Macquarie-Hastings Council,2444,Existing Fast Chargers,108,Mid North Coast,New South Wales,ev_00069,"-31.463942,152.821950",matched,29.91,nearby_identity,172921,Port Macquarie Service Centre [Chargefox],"1063 Oxley Highway, Thrumster, 2444",Chargefox,CCS (Type 2); CHAdeMO,"$0.60/kWh, 20% discount for NRMA members",Public,,2,Operational,2026-09-01T11:39:00Z,Open Charge Map Contributors,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),https://openchargemap.org/site/poi/details/172921,True,ocm,ocm,unmatched,False,unmatched,False,matched,True,review_identity,False
,,"1068 Pittwater Rd, Sydney, 2097",JOLT,2,DC,25 kW,-33.73111016,151.301011,Northern Beaches Council,2097,Existing Fast Chargers,122,Sydney - Northern Beaches,New South Wales,ev_00070,"-33.731110,151.301011",review_unresolved,,,,,,,,,,,,,,,,,False,,,unmatched,False,unmatched,False,unmatched,False,unmatched,False
,,"107 John St, Singleton, 2330",Exploren,1,AC,22 kW,-32.56552757,151.1671401,Singleton Council,2330,Existing Destination Chargers,106,Hunter Valley exc Newcastle,New South Wales,ev_00071,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
,,"108 Ingleburn Rd, Leppington, 2179",Chargefox,6,AC,6 kW,-33.96187992,150.8062342,Camden Council,2179,Existing Destination Chargers,127,Sydney - South West,New South Wales,ev_00072,,not_target,,,,,,,,,,,,,,,,,False,,,not_target,False,not_target,False,not_target,False,not_target,False
